"Name","age","gp","pts","Score_total"
"Vernon Carey Jr.",22,11,0.5,5.5
"Tyler Dorsey",27,3,3,9
"Trevor Keels",19,3,1,3
"Trevor Hudgins",24,5,1.8,9
"Xavier Moon",28,4,1.8,7.2
"Sterling Brown",28,4,0,0
"Stanley Umude",24,1,2,2
"Michael Foster Jr.",20,1,0,0
"Deonte Burton",29,2,0,0
"Dereon Seabron",23,5,0.8,4
"Devon Dotson",23,6,0.5,3
"Donovan Williams",21,2,2,4
"Dylan Windler",26,3,1.7,5.1
"Frank Jackson",25,1,0,0
"Alize Johnson",27,4,1.8,7.2
"Alondes Williams",24,1,0,0
"Chris Silva",26,1,2,2
"Cole Swider",24,7,1.3,9.1
"Braxton Key",26,3,1.3,3.9
"Chance Comanche",27,1,7,7
"Chima Moneke",27,2,1,2
"Kobi Simmons",25,5,1,5
"Kendall Brown",20,6,1.5,9
"Marko Simonovic",23,7,0.9,6.3
"Mfiondu Kabengele",25,4,1.5,6
"Malcolm Hill",27,5,1,5
"Leandro Bolmaro",22,14,0.4,5.6
"Isaiah Todd",21,6,1.5,9
"Jacob Gilyard",24,1,3,3
"Jordan Schakel",25,2,1.5,3
"Joe Wieskamp",23,9,1,9
